time,datetime,protocol,transport_layer,src_ip,dst_ip,packet_size,src_port,dst_port
1735571282708,2024-12-30 16:08:02,TLS,TCP,192.168.1.8,140.82.114.25,55,58427,443
1735571282721,2024-12-30 16:08:02,TCP,TCP,140.82.114.25,192.168.1.8,66,443,58427
1735571283307,2024-12-30 16:08:03,TLS,TCP,108.157.188.74,192.168.1.8,93,443,58481
1735571283318,2024-12-30 16:08:03,TCP,TCP,108.157.188.74,192.168.1.8,54,443,58481
1735571283331,2024-12-30 16:08:03,TCP,TCP,108.157.188.74,192.168.1.8,54,443,58481
1735571283336,2024-12-30 16:08:03,TCP,TCP,192.168.1.8,108.157.188.74,54,58481,443
1735571283349,2024-12-30 16:08:03,TCP,TCP,192.168.1.8,108.157.188.74,54,58481,443
1735571283361,2024-12-30 16:08:03,TCP,TCP,108.157.188.74,192.168.1.8,54,443,58481
1735571283361,2024-12-30 16:08:03,SSDP,UDP,192.168.1.77,239.255.255.250,167,42956,1900
1735571285111,2024-12-30 16:08:05,TLS,TCP,192.168.1.8,20.42.73.25,172,58450,443
1735571285125,2024-12-30 16:08:05,TLS,TCP,192.168.1.8,20.42.73.25,1494,58450,443
1735571285139,2024-12-30 16:08:05,TCP,TCP,192.168.1.8,20.42.73.25,1494,58450,443
1735571285155,2024-12-30 16:08:05,TCP,TCP,192.168.1.8,20.42.73.25,1494,58450,443
1735571285167,2024-12-30 16:08:05,TCP,TCP,192.168.1.8,20.42.73.25,1494,58450,443
1735571285180,2024-12-30 16:08:05,TCP,TCP,192.168.1.8,20.42.73.25,1494,58450,443
1735571285220,2024-12-30 16:08:05,TLS,TCP,192.168.1.8,20.42.73.25,1225,58450,443
1735571285229,2024-12-30 16:08:05,TCP,TCP,20.42.73.25,192.168.1.8,54,443,58450
1735571285237,2024-12-30 16:08:05,TCP,TCP,20.42.73.25,192.168.1.8,54,443,58450
1735571285249,2024-12-30 16:08:05,TCP,TCP,20.42.73.25,192.168.1.8,54,443,58450
1735571285258,2024-12-30 16:08:05,TLS,TCP,20.42.73.25,192.168.1.8,152,443,58450
1735571285267,2024-12-30 16:08:05,TLS,TCP,192.168.1.8,20.42.73.25,89,58450,443
1735571285357,2024-12-30 16:08:05,TCP,TCP,20.42.73.25,192.168.1.8,54,443,58450
1735571286897,2024-12-30 16:08:06,DATA,UDP,142.250.180.138,192.168.1.8,120,443,50013
1735571286903,2024-12-30 16:08:06,DATA,UDP,142.250.180.138,192.168.1.8,120,443,50013
1735571286905,2024-12-30 16:08:06,DATA,UDP,192.168.1.8,142.250.180.138,76,50013,443
1735571287407,2024-12-30 16:08:07,TLS,TCP,192.168.1.8,20.42.73.25,172,58450,443
1735571287425,2024-12-30 16:08:07,TLS,TCP,192.168.1.8,20.42.73.25,1494,58450,443
1735571287440,2024-12-30 16:08:07,TCP,TCP,192.168.1.8,20.42.73.25,1494,58450,443
1735571287451,2024-12-30 16:08:07,TCP,TCP,192.168.1.8,20.42.73.25,1494,58450,443
1735571287462,2024-12-30 16:08:07,TCP,TCP,192.168.1.8,20.42.73.25,1494,58450,443
1735571287496,2024-12-30 16:08:07,TLS,TCP,192.168.1.8,20.42.73.25,648,58450,443
1735571287673,2024-12-30 16:08:07,TLS,TCP,20.42.73.25,192.168.1.8,89,443,58450
1735571287682,2024-12-30 16:08:07,TCP,TCP,20.42.73.25,192.168.1.8,54,443,58450
1735571287689,2024-12-30 16:08:07,TCP,TCP,192.168.1.8,20.42.73.25,54,58450,443
1735571287695,2024-12-30 16:08:07,TLS,TCP,20.42.73.25,192.168.1.8,148,443,58450
1735571287707,2024-12-30 16:08:07,TCP,TCP,192.168.1.8,20.42.73.25,54,58450,443
1735571289716,2024-12-30 16:08:09,TLS,TCP,192.168.1.8,20.42.73.25,172,58450,443
1735571289740,2024-12-30 16:08:09,TLS,TCP,192.168.1.8,20.42.73.25,1494,58450,443
1735571289753,2024-12-30 16:08:09,TCP,TCP,192.168.1.8,20.42.73.25,1494,58450,443
1735571289781,2024-12-30 16:08:09,TLS,TCP,192.168.1.8,20.42.73.25,1420,58450,443
1735571289972,2024-12-30 16:08:09,TCP,TCP,20.66.110.161,192.168.1.8,54,443,58157
1735571289984,2024-12-30 16:08:09,TCP,TCP,192.168.1.8,20.66.110.161,54,58157,443
1735571289986,2024-12-30 16:08:09,DNS,UDP,192.168.1.8,192.168.1.1,88,56626,53
1735571289995,2024-12-30 16:08:09,DNS,UDP,192.168.1.1,192.168.1.8,524,53,56626
1735571290006,2024-12-30 16:08:10,TCP,TCP,192.168.1.8,20.50.88.235,66,58521,443
1735571290015,2024-12-30 16:08:10,TCP,TCP,20.50.88.235,192.168.1.8,66,443,58521
1735571290025,2024-12-30 16:08:10,TCP,TCP,192.168.1.8,20.50.88.235,54,58521,443
1735571290041,2024-12-30 16:08:10,TLS,TCP,192.168.1.8,20.50.88.235,571,58521,443
1735571290050,2024-12-30 16:08:10,TCP,TCP,20.42.73.25,192.168.1.8,54,443,58450
1735571290060,2024-12-30 16:08:10,TCP,TCP,20.42.73.25,192.168.1.8,54,443,58450
1735571290068,2024-12-30 16:08:10,TLS,TCP,20.42.73.25,192.168.1.8,148,443,58450
1735571290076,2024-12-30 16:08:10,TLS,TCP,20.50.88.235,192.168.1.8,153,443,58521
1735571290096,2024-12-30 16:08:10,TLS,TCP,192.168.1.8,20.50.88.235,487,58521,443
1735571290101,2024-12-30 16:08:10,DATA,UDP,192.168.1.2,255.255.255.255,54,53805,53805
1735571290103,2024-12-30 16:08:10,DATA,UDP,Unknown,Unknown,74,53805,53805
1735571290125,2024-12-30 16:08:10,TLS,TCP,20.50.88.235,192.168.1.8,1506,443,58521
1735571290133,2024-12-30 16:08:10,TCP,TCP,20.50.88.235,192.168.1.8,1506,443,58521
1735571290148,2024-12-30 16:08:10,TCP,TCP,20.50.88.235,192.168.1.8,1506,443,58521
1735571290166,2024-12-30 16:08:10,TLS,TCP,20.50.88.235,192.168.1.8,106,443,58521
1735571290178,2024-12-30 16:08:10,TCP,TCP,192.168.1.8,20.50.88.235,54,58521,443
1735571290191,2024-12-30 16:08:10,TLS,TCP,192.168.1.8,20.50.88.235,687,58521,443
1735571290199,2024-12-30 16:08:10,TCP,TCP,192.168.1.8,20.42.73.25,54,58450,443
1735571290209,2024-12-30 16:08:10,TLS,TCP,20.50.88.235,192.168.1.8,157,443,58521
1735571290219,2024-12-30 16:08:10,TLS,TCP,20.50.88.235,192.168.1.8,479,443,58521
1735571290229,2024-12-30 16:08:10,TLS,TCP,20.50.88.235,192.168.1.8,81,443,58521
1735571290239,2024-12-30 16:08:10,TCP,TCP,192.168.1.8,20.50.88.235,54,58521,443
1735571290248,2024-12-30 16:08:10,TLS,TCP,192.168.1.8,20.50.88.235,78,58521,443
1735571290259,2024-12-30 16:08:10,TCP,TCP,192.168.1.8,20.50.88.235,54,58521,443
1735571290267,2024-12-30 16:08:10,TCP,TCP,20.50.88.235,192.168.1.8,54,443,58521
1735571290271,2024-12-30 16:08:10,DATA,UDP,192.168.1.2,255.255.255.255,54,53805,53805
1735571290274,2024-12-30 16:08:10,DATA,UDP,Unknown,Unknown,74,53805,53805
